2014/09/25 16:33:54 msgCount/second 0
2014/09/25 16:33:55 msgCount/second 0
2014/09/25 16:33:56 msgCount/second 0
2014/09/25 16:33:57 msgCount/second 0
2014/09/25 16:33:58 msgCount/second 0
2014/09/25 16:33:59 msgCount/second 0
2014/09/25 16:34:00 msgCount/second 0
2014/09/25 16:34:01 msgCount/second 0
2014/09/25 16:34:02 msgCount/second 0
2014/09/25 16:34:03 msgCount/second 0
2014/09/25 16:34:04 msgCount/second 0
2014/09/25 16:34:05 msgCount/second 8
2014/09/25 16:34:06 msgCount/second 16
2014/09/25 16:34:07 msgCount/second 23
2014/09/25 16:34:08 msgCount/second 0
2014/09/25 16:34:09 msgCount/second 0
2014/09/25 16:34:10 msgCount/second 0
2014/09/25 16:34:11 msgCount/second 0
2014/09/25 16:34:12 msgCount/second 0
2014/09/25 16:34:13 msgCount/second 0
2014/09/25 16:34:14 msgCount/second 0
2014/09/25 16:34:15 msgCount/second 0
2014/09/25 16:34:16 msgCount/second 0
2014/09/25 16:34:17 msgCount/second 0
2014/09/25 16:34:18 msgCount/second 0
2014/09/25 16:34:19 msgCount/second 0
2014/09/25 16:34:20 msgCount/second 0
2014/09/25 16:34:21 msgCount/second 0
2014/09/25 16:34:22 msgCount/second 23
2014/09/25 16:34:23 msgCount/second 29
2014/09/25 16:34:24 msgCount/second 19
2014/09/25 16:34:25 msgCount/second 31
2014/09/25 16:34:26 msgCount/second 48
2014/09/25 16:34:27 msgCount/second 17
2014/09/25 16:34:28 msgCount/second 47
2014/09/25 16:34:29 msgCount/second 22
2014/09/25 16:34:30 msgCount/second 33
2014/09/25 16:34:31 msgCount/second 34
2014/09/25 16:34:32 msgCount/second 43
2014/09/25 16:34:33 msgCount/second 6
2014/09/25 16:34:34 msgCount/second 0
2014/09/25 16:34:35 msgCount/second 0
2014/09/25 16:34:36 msgCount/second 0
2014/09/25 16:34:37 msgCount/second 0
2014/09/25 16:34:38 msgCount/second 0
2014/09/25 16:34:39 msgCount/second 0
2014/09/25 16:34:40 msgCount/second 0
2014/09/25 16:34:41 msgCount/second 0
2014/09/25 16:34:42 msgCount/second 0
2014/09/25 16:34:43 msgCount/second 0
2014/09/25 16:34:44 msgCount/second 0
2014/09/25 16:34:45 msgCount/second 0
2014/09/25 16:34:46 msgCount/second 1
2014/09/25 16:34:47 msgCount/second 88
2014/09/25 16:34:48 msgCount/second 75
2014/09/25 16:34:49 msgCount/second 86
2014/09/25 16:34:50 msgCount/second 84
2014/09/25 16:34:51 msgCount/second 69
2014/09/25 16:34:52 msgCount/second 19
2014/09/25 16:34:53 msgCount/second 71
2014/09/25 16:34:54 msgCount/second 13
2014/09/25 16:34:55 msgCount/second 6
2014/09/25 16:34:56 msgCount/second 0
2014/09/25 16:34:57 msgCount/second 0
2014/09/25 16:34:58 msgCount/second 10
2014/09/25 16:34:59 msgCount/second 5
2014/09/25 16:35:00 msgCount/second 4
2014/09/25 16:35:01 msgCount/second 1
2014/09/25 16:35:02 msgCount/second 3
2014/09/25 16:35:03 msgCount/second 5
2014/09/25 16:35:04 msgCount/second 0
2014/09/25 16:35:05 msgCount/second 0
2014/09/25 16:35:06 msgCount/second 0
2014/09/25 16:35:07 msgCount/second 0
2014/09/25 16:35:08 msgCount/second 14
2014/09/25 16:35:09 msgCount/second 14
2014/09/25 16:35:10 msgCount/second 10
2014/09/25 16:35:11 msgCount/second 2
2014/09/25 16:35:12 msgCount/second 22
2014/09/25 16:35:13 msgCount/second 33
2014/09/25 16:35:14 msgCount/second 1
2014/09/25 16:35:15 msgCount/second 0
2014/09/25 16:35:16 msgCount/second 13
2014/09/25 16:35:17 msgCount/second 38
2014/09/25 16:35:18 msgCount/second 53
2014/09/25 16:35:19 msgCount/second 0
2014/09/25 16:35:20 msgCount/second 0
2014/09/25 16:35:21 msgCount/second 0
2014/09/25 16:35:22 msgCount/second 0
2014/09/25 16:35:23 msgCount/second 0
2014/09/25 16:35:24 msgCount/second 0
2014/09/25 16:35:25 msgCount/second 0
2014/09/25 16:35:26 msgCount/second 0
2014/09/25 16:35:27 msgCount/second 0
2014/09/25 16:35:28 msgCount/second 0
2014/09/25 16:35:29 msgCount/second 0
2014/09/25 16:35:30 msgCount/second 0
2014/09/25 16:35:31 msgCount/second 0
2014/09/25 16:35:32 msgCount/second 0
2014/09/25 16:35:33 msgCount/second 0
2014/09/25 16:35:34 msgCount/second 0
2014/09/25 16:35:35 msgCount/second 0
2014/09/25 16:35:36 msgCount/second 0
2014/09/25 16:35:37 msgCount/second 0
2014/09/25 16:35:38 msgCount/second 0
2014/09/25 16:35:39 msgCount/second 0
2014/09/25 16:35:40 msgCount/second 0
2014/09/25 16:35:41 msgCount/second 0
2014/09/25 16:35:42 msgCount/second 0
2014/09/25 16:35:43 msgCount/second 0
2014/09/25 16:35:44 comm: websocket receive error: EOF

2014/09/25 16:35:44 comm: websocket receive error: EOF

2014/09/25 16:35:44 msgCount/second 0
2014/09/25 16:35:45 msgCount/second 0
2014/09/25 16:35:46 msgCount/second 0
2014/09/25 16:35:47 msgCount/second 0
2014/09/25 16:35:48 msgCount/second 0
2014/09/25 16:35:49 msgCount/second 0
2014/09/25 16:35:50 msgCount/second 0
2014/09/25 16:35:51 msgCount/second 0
